연월,원자력,수력,양수,신재생,합계
2019-01-01,11663,63,340,3,12069
2019-02-01,10501,54,298,3,10856
2019-03-01,13369,47,274,4,13694
2019-04-01,13471,66,284,3,13824
2019-05-01,14051,84,257,4,14396
2019-06-01,12934,76,222,3,13235
2019-07-01,11110,91,306,3,11510
2019-08-01,11597,112,313,3,12025
2019-09-01,9803,108,299,3,10213
2019-10-01,10071,46,290,3,10410
2019-11-01,9724,57,266,3,10050
2019-12-01,10514,62,300,2,10878
2020-01-01,11315,77,312,2,11706
2020-02-01,12087,65,319,3,12474
2020-03-01,13788,63,301,4,14156
2020-04-01,13049,55,296,4,13404
2020-05-01,14555,83,286,3,14927
2020-06-01,13409,87,224,3,13723
2020-07-01,13069,102,236,3,13410
2020-08-01,11926,199,271,4,12400
2020-09-01,8835,202,250,4,9291
2020-10-01,12812,67,243,5,13127
2020-11-01,13384,56,222,4,13666
2020-12-01,14354,47,302,3,14706
2021-01-01,13392,48,323,3,13766
2021-02-01,12133,48,307,4,12492
2021-03-01,13159,68,308,6,13541
2021-04-01,11966,79,319,7,12371
2021-05-01,12177,136,302,6,12621
2021-06-01,10793,150,295,6,11244
2021-07-01,11704,126,343,6,12179
2021-08-01,12140,75,317,6,12538
2021-09-01,11560,80,276,5,11921
2021-10-01,12789,57,292,6,13144
2021-11-01,12904,42,255,6,13207
2021-12-01,15741,42,337,5,16125
2022-01-01,15331,43,329,6,15709
2022-02-01,13314,37,323,6,13680
2022-03-01,13198,63,343,7,13611
2022-04-01,12748,55,266,8,13077
2022-05-01,13912,76,293,9,14290
2022-06-01,14014,115,275,7,14411
2022-07-01,14590,224,286,7,15107
2022-08-01,15487,222,328,7,16044
2022-09-01,13403,155,315,7,13880
2022-10-01,13683,97,323,8,14110
2022-11-01,13337,71,312,6,13726
2022-12-01,14498,59,312,5,14874
2023-01-01,14914,64,313,6,15297
2023-02-01,12962,50,259,7,13278
2023-03-01,14468,52,343,10,14872
2023-04-01,12906,63,358,9,13336
2023-05-01,13752,137,365,9,14263
2023-06-01,13468,140,277,9,13894
2023-07-01,15030,217,271,7,15525
2023-08-01,15084,134,262,9,15489
2023-09-01,14243,118,324,9,14694
2023-10-01,14396,72,377,15,14860
2023-11-01,14958,75,335,18,15386
2023-12-01,15493,87,295,18,15893
2024-01-01,14216,55,374,21,14666
2024-02-01,14008,71,350,19,14448
2024-03-01,14834,84,464,23,15405
2024-04-01,13911,159,424,23,14517
2024-05-01,15243,187,464,26,15920
2024-06-01,14321,147,348,24,14840
2024-07-01,15666,222,344,23,16255
2024-08-01,14738,185,371,25,15319
2024-09-01,15055,140,352,23,15570
2024-10-01,16212,75,405,21,16713
2024-11-01,15338,53,372,21,15784
2024-12-01,15886,59,401,21,16367
2025-01-01,17014,63,417,26,17520
2025-02-01,15430,54,372,26,15882
2025-03-01,16997,53,444,29,17523
2025-04-01,15163,79,427,31,15700
